cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,site_position_time,mono_drive_rate,location,site_depth,hub_height
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,288.7256550873831,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,294.61008362946603,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Drive Monopile,15.0,156250.0,ACTION,303.7256550873831,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,305.7256550873831,MonopileInstallation,,,,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,306.61008362946603,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,306.7256550873831,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,307.7256550873831,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,311.7256550873831,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,312.04232175404974,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,314.61008362946603,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,317.04232175404974,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,317.3589884207164,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,318.3589884207164,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Release Monopile,3.0,31250.0,ACTION,321.3589884207164,MonopileInstallation,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,322.0820539560442,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,322.0853039560442,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,323.0853039560442,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,326.61008362946603,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,334.61008362946603,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Drive Monopile,15.0,156250.0,ACTION,338.0853039560442,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,340.0853039560442,MonopileInstallation,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,341.0853039560442,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Delay,1.0,10416.666666666666,ACTION,342.0853039560442,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,343.0853039560442,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,346.61008362946603,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,347.0853039560442,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,347.40197062271085,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,352.40197062271085,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,352.7186372893775,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,353.7186372893775,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,354.61008362946603,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Release Monopile,3.0,31250.0,ACTION,356.7186372893775,MonopileInstallation,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,357.4417028247053,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,357.4449528247053,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 0,Transit,3.2432432432432434,16216.216216216217,ACTION,357.85332687270926,MonopileInstallation,,,,,,
,Feeder 0,Jackup,0.0008341675008341675,4.170837504170837,ACTION,357.8541610402101,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,358.4449528247053,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Drive Monopile,15.0,156250.0,ACTION,373.4449528247053,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,375.4449528247053,MonopileInstallation,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,376.4449528247053,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,377.4449528247053,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,381.4449528247053,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,381.76161949137196,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,386.76161949137196,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,387.0782861580386,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,388.0782861580386,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Release Monopile,3.0,31250.0,ACTION,391.0782861580386,MonopileInstallation,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,391.8013516933664,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,391.8046016933664,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,392.8046016933664,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Drive Monopile,15.0,156250.0,ACTION,407.8046016933664,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,409.8046016933664,MonopileInstallation,,,,,,
,Feeder 1,ActiveFeeder,135.19451806390038,675972.5903195018,ACTION,409.8046016933664,MonopileInstallation,,,,Site,,
,Feeder 1,Jackdown,0.0008341675008341675,4.170837504170837,ACTION,409.80543586086725,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,410.8046016933664,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,411.8046016933664,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 1,Transit,3.2432432432432434,16216.216216216217,ACTION,413.0486791041105,MonopileInstallation,,,,,,
,Feeder 0,Queue,55.194518063900375,275972.5903195019,ACTION,413.0486791041105,MonopileInstallation,,,,Site,,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,415.8046016933664,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,416.12126836003307,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,421.12126836003307,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,421.43793502669973,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,422.43793502669973,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,425.0486791041105,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Release Monopile,3.0,31250.0,ACTION,425.43793502669973,MonopileInstallation,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,426.16100056202754,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,426.1642505620275,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,427.1642505620275,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,433.0486791041105,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Delay,26.0,270833.3333333333,ACTION,453.1642505620275,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 1,Delay,25.0,125000.0,ACTION,458.0486791041105,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Drive Monopile,15.0,156250.0,ACTION,468.1642505620275,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,470.0486791041105,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,470.1642505620275,MonopileInstallation,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,471.1642505620275,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,472.1642505620275,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,476.1642505620275,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,476.4809172286942,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,478.0486791041105,MonopileInstallation,MonopileInstallation,5.0,2.0,,,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,481.4809172286942,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,481.79758389536084,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,482.79758389536084,MonopileInstallation,MonopileInstallation,5.0,2.0,,22.5,
