cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,site_position_time,location,site_depth,hub_height
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,7563.4689808934345,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,7567.4689808934345,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,7571.4689808934345,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,7575.4689808934345,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Fasten Blade,1.5,25000.0,ACTION,7576.9689808934345,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Fasten Blade,1.5,25000.0,ACTION,7578.4689808934345,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Fasten Blade,1.5,25000.0,ACTION,7579.9689808934345,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,7583.9689808934345,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,7587.9689808934345,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,7591.9689808934345,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,7595.9689808934345,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,7599.9689808934345,TurbineInstallation,TurbineInstallation,5.0,,22.5,150.0
