cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name,site_position_time,mono_drive_rate,tower_section_fasten_time,tower_section_release_time,tower_section_attach_time,nacelle_fasten_time,nacelle_release_time,nacelle_attach_time,blade_fasten_time,blade_release_time,blade_attach_time
,WTIV,Jackup,5.416666666666667,90277.7777777778,ACTION,393.45815425321564,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,394.45815425321564,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Release Monopile,3.0,50000.0,ACTION,397.45815425321564,MonopileInstallation,,,,,,,,,,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,398.18121978854344,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,398.1844697885434,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,399.1844697885434,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Drive Monopile,15.0,250000.00000000003,ACTION,414.1844697885434,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,416.1844697885434,MonopileInstallation,,,,,,,,,,,,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,417.1844697885434,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,418.1844697885434,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,422.1844697885434,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Jackdown,5.416666666666667,90277.7777777778,ACTION,427.6011364552101,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,430.84437969845334,MonopileInstallation,,,,,,,,,,,,,,,
,WTIV,Delay,9.0,150000.0,ACTION,439.84437969845334,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,451.84437969845334,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Delay,2.0,33333.333333333336,ACTION,453.84437969845334,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,461.84437969845334,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,473.84437969845334,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,481.84437969845334,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,493.84437969845334,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,501.84437969845334,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,513.8443796984534,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,521.8443796984534,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,533.8443796984534,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,541.8443796984534,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,553.8443796984534,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,561.8443796984534,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,565.0876229416966,MonopileInstallation,,,,,,,,,,,,,,,
,WTIV,Position Onsite,5.0,83333.33333333334,ACTION,570.0876229416966,MonopileInstallation,,,,,,,,,,,,,,,
,WTIV,Jackup,5.416666666666667,90277.7777777778,ACTION,575.5042896083633,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,576.5042896083633,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Release Monopile,3.0,50000.0,ACTION,579.5042896083633,MonopileInstallation,,,,,,,,,,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,580.227355143691,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,580.230605143691,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,581.230605143691,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Drive Monopile,15.0,250000.00000000003,ACTION,596.230605143691,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,598.230605143691,MonopileInstallation,,,,,,,,,,,,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,599.230605143691,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,600.230605143691,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,604.230605143691,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Jackdown,5.416666666666667,90277.7777777778,ACTION,609.6472718103577,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Position Onsite,5.0,83333.33333333334,ACTION,614.6472718103577,MonopileInstallation,,,,,,,,,,,,,,,
,WTIV,Jackup,5.416666666666667,90277.7777777778,ACTION,620.0639384770243,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,621.0639384770243,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
,WTIV,Release Monopile,3.0,50000.0,ACTION,624.0639384770243,MonopileInstallation,,,,,,,,,,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,624.7870040123521,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.75,0.5,1.5
