cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name,location
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,459.88762294169646,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Position Onsite,2.0,20833.333333333332,ACTION,461.88762294169646,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,462.2042896083631,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,463.2042896083631,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Release Monopile,3.0,31250.0,ACTION,466.2042896083631,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,466.92735514369093,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,466.9306051436909,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,467.9306051436909,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,469.4306051436909,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,471.4306051436909,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,472.4306051436909,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,473.4306051436909,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,477.4306051436909,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,477.7472718103576,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Position Onsite,2.0,20833.333333333332,ACTION,479.7472718103576,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,480.06393847702424,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,481.06393847702424,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Release Monopile,3.0,31250.0,ACTION,484.06393847702424,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,484.78700401235204,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,484.790254012352,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,485.790254012352,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,487.290254012352,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,489.290254012352,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,490.290254012352,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,491.290254012352,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,495.290254012352,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,495.6069206790187,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Transit,25.0,260416.66666666666,ACTION,520.6069206790187,MonopileInstallation,,,,,
,WTIV,Delay,71.0,739583.3333333333,ACTION,591.6069206790187,MonopileInstallation,,,,,
,WTIV,Transit,18.243243243243242,190033.78378378376,ACTION,609.8501639222619,MonopileInstallation,,,,,
,WTIV,Fasten Monopile,12.0,125000.0,ACTION,621.8501639222619,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
,WTIV,Fasten Transition Piece,8.0,83333.33333333333,ACTION,629.8501639222619,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation,
