cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name,site_position_time
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,488.14990288101313,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,488.4665695476798,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Position Onsite,5.0,83333.33333333334,ACTION,493.4665695476798,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,493.78323621434646,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,494.78323621434646,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Release Monopile,3.0,50000.0,ACTION,497.78323621434646,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,498.50630174967426,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,498.50955174967424,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,499.50955174967424,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Drive Monopile,1.5,25000.0,ACTION,501.00955174967424,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,503.00955174967424,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,504.00955174967424,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,505.00955174967424,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,509.00955174967424,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
