cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4226.235749507849,TurbineInstallation,,,,
,WTIV,Lift Blade,1.5,25000.0,ACTION,4227.735749507849,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4231.235749507849,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4232.235749507849,TurbineInstallation,,,,
,WTIV,Lift Blade,1.5,25000.0,ACTION,4233.735749507849,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4237.235749507849,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4238.235749507849,TurbineInstallation,,,,
,WTIV,Lift Blade,1.5,25000.0,ACTION,4239.735749507849,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4243.235749507849,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,4243.552416174515,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,4246.7956594177585,TurbineInstallation,,,,
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4250.7956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4254.7956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4258.7956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4262.7956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,4266.7956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Blade,1.5,25000.0,ACTION,4268.2956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Blade,1.5,25000.0,ACTION,4269.7956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Blade,1.5,25000.0,ACTION,4271.2956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4275.2956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4279.2956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4283.2956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4287.2956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,4291.2956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Blade,1.5,25000.0,ACTION,4292.7956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Blade,1.5,25000.0,ACTION,4294.2956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Blade,1.5,25000.0,ACTION,4295.7956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4299.7956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4303.7956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4307.7956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Tower Section,4.0,66666.66666666667,ACTION,4311.7956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Nacelle,4.0,66666.66666666667,ACTION,4315.7956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Blade,1.5,25000.0,ACTION,4317.2956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Blade,1.5,25000.0,ACTION,4318.7956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Fasten Blade,1.5,25000.0,ACTION,4320.2956594177585,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,4323.538902661002,TurbineInstallation,,,,
