cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,462.63638936749965,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,466.63638936749965,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,466.9530560341663,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,468.9530560341663,MonopileInstallation,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,469.269722700833,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,470.269722700833,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Monopile,3.0,50000.0,ACTION,473.269722700833,MonopileInstallation,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,473.9927882361608,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,473.99603823616076,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,474.99603823616076,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Drive Monopile,1.5,25000.0,ACTION,476.49603823616076,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,478.49603823616076,MonopileInstallation,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,479.49603823616076,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,480.49603823616076,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
